DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle;TotalTimeWatched_Hours;DayOfWeekName
2021/01/27;8ATMBSP8EIFP9GOL2S9G69A2002K;420;Leanback;LiveTV;PL 20/21: Chelsea v Wolves;7;Wednesday
2021/01/27;849OA255CNYN51LPIZ731P2Z0053;3720;Web;LiveTV;Met 'n Huppel In Die Stap;62;Wednesday
2021/01/29;9MIB04A8HO3B2BFFHW2A6R5Q0035;660;Leanback;Other;Karoobewoners;11;Friday
2021/01/30;9CQP1WGUKE35F1YBLM02D52H000S;1620;Leanback;LiveTV;PL 20/21: Arsenal v Man Utd;27;Saturday
2021/01/30;HPQACFHAKTXR7XDY4NMW4QIU0042;120;Android;LiveTV;Unknown;2;Saturday
2021/02/01;I7SNFC8FAWR3AS8HDYGDGWK0003Q;1560;Android;LiveTV;Unknown;26;Monday
2021/02/02;74CC31I55WMQC5AX6P4ZE36T003R;660;Leanback;LiveTV;Connect the World with Becky Anderson;11;Tuesday
2021/02/06;42P63SX0LVX1J5DQBKWUHTTN004S;60;Leanback;LiveTV;Sky News;1;Saturday
2021/02/07;6FIOCHCDGFZF56W9ET9THOYQ002O;2202;Android;LiveTV;Unknown;36.7;Sunday
2021/02/07;LS7X5PVBI0THC87H45I4DEL3006Q;420;Android;LiveTV;Unknown;7;Sunday
2021/02/07;2CPUH960EORI7SOJ3IC1CGF8002P;3960;Leanback;LiveTV;Unknown;66;Sunday
2021/01/26;APMDFNURG3717TEHKQLJCSOS001M;120;Leanback;Catch Up;The Photograph;2;Tuesday
2021/01/27;GP1DIXV84RK8J68H7S7U7QBJ001A;600;Leanback;Other;Momentum One Day Cup;10;Wednesday
2021/01/28;EJDJ2Y551IK5C3NRIFV98V5D0023;8940;Leanback;LiveTV;GoldenEye;149;Thursday
2021/01/29;3YD670SYEC196D8VH1EQ7AW6000W;240;Leanback;LiveTV;Unknown;4;Friday
2021/01/31;3H7R362H1YD1EYF822TSBSL4005B;240;Leanback;LiveTV;Unknown;4;Sunday
2021/01/31;1HIJ816PADTBDKZW0NAYCXT3001T;540;Leanback;Catch Up;Do You Know?;9;Sunday
2021/02/04;0UK7J708F1A3J1EUKBG2FS2D000X;240;Leanback;LiveTV;PL HL 20/21: Wolves v Arsenal;4;Thursday
2021/02/05;9CQP1WGUKE35F1YBLM02D52H000S;1380;Leanback;Other;Suidooster;23;Friday
2021/02/05;KURTD4R8BFO90XY5K0HILPH7001X;420;Leanback;LiveTV;#FactsOnly - Black Motion;7;Friday
2021/02/06;3H7R362H1YD1EYF822TSBSL4005B;2242;Web;LiveTV;Married At First Sight New Zealand;37.36666666666667;Saturday
2021/02/07;EJDJ2Y551IK5C3NRIFV98V5D0023;3033;iOS;LiveTV;Salvage Hunters;50.55;Sunday
2021/02/07;K4KYKXFVCKTYGHWIJE252I8K004Y;840;Leanback;LiveTV;newsgrid;14;Sunday
2021/02/07;9CQP1WGUKE35F1YBLM02D52H000S;2220;Leanback;Other;Ring Of Fire;37;Sunday
2021/02/09;21WZAK519F3XGE226XA7H6XM0066;120;Leanback;LiveTV;The Kelly Clarkson Show;2;Tuesday
2021/01/25;CFSC53AHK4L7EXNA0SFFGWM50006;1140;Android;LiveTV;Unknown;19;Monday
2021/01/27;E2W4A4LSLG0Y7U828WPYD3WX000W;60;iOS;Catch Up;Big Bash Twenty20;1;Wednesday
2021/01/28;KFWM1M5H2E519ERG9WIMG2QL000Y;60;Leanback;Catch Up;The Real Housewives Of Salt Lake City;1;Thursday
2021/01/29;D15NLP17EIDCLVH5FCXSL1B40001;360;Leanback;Other;Nommer 5;6;Friday
2021/01/29;D1COFVKB7R35KG4Y8QL2AP4U002B;960;Leanback;LiveTV;The Lead;16;Friday
2021/01/30;GP1DIXV84RK8J68H7S7U7QBJ001A;720;Leanback;LiveTV;MODC '21: Cobras v Warriors;12;Saturday
2021/01/31;3YD670SYEC196D8VH1EQ7AW6000W;1080;Leanback;LiveTV;Unknown;18;Sunday
2021/02/01;I4DMG8VA62Z4J7VB200019W6003B;5160;Leanback;LiveTV;CNN Newsroom with Michael Holmes;86;Monday
2021/02/06;JYGJDOW92KGS7TJ8CP8J7DTF001Z;37;Web;Catch Up;The BBQ;0.6166666666666667;Saturday
2021/02/06;1XW6DWQZB32THMVE60XBD1JJ001C;9395;Web;LiveTV;PL 20/21: A Villa v Arsenal;156.58333333333334;Saturday
2021/02/06;99XY8K7T71P3KIC125HPLFM1004C;18328;Leanback;LiveTV;Total Wipeout;305.46666666666664;Saturday
2021/02/07;I7YQK44HLZ32KIV1B2VQ1TPK0052;2520;Leanback;LiveTV;Unknown;42;Sunday
2021/02/07;CW0LGPPX9I6RDM1044TJJMDJ001D;227;Android;Catch Up;Below Deck Mediterranean;3.783333333333333;Sunday
2021/02/07;FD7U0XYID71PAOR38LFP0GJR0013;6959;iOS;LiveTV;UFC 254: Khabib v Gaethje;115.98333333333333;Sunday
2021/02/07;MB6KCV1WH21YLV6A4WCCL1UU006T;7;Leanback;Catch Up;Dr. Pimple Popper;0.11666666666666667;Sunday
2021/02/08;7TA43ZJG3G7MM0XZ4SOAHL1I0029;540;Leanback;LiveTV;On Point;9;Monday
